Status_of_Existing_Checking_Account,Duration_in_Month,Credit_History,Purpose,Credit_Amount,Savings_Account_bonds,Employment_Since,Installment_rate_in_percentage_of_disposable_income,Personal_Status_and_sex,other_debtors,Years_at_residence,Property,Age,Other_installment_plans,Housing,Number_of_Existing_credits,Job,Number_of_people_being_liable,telephone,foreign_worker,credit_risk
0 DM,18,all credits at this bank paid back,radio/television,1940,< 100 DM,<1 year,3,male:single,co-applicant,4,unknown/no property,36,bank,free,1,management/self employed,1,yes,Yes,Low
No checking account,36,existing credits paid,radio/television,3595,< 100 DM,>7 years,4,male:single,none,2,car or other,28,none,own,1,skilled employee,1,None,Yes,Low
0 DM,9,existing credits paid,new car,1422,< 100 DM,<1 year,3,male:single,none,2,unknown/no property,27,none,free,1,management/self employed,1,yes,Yes,High
No checking account,30,critical account,radio/television,6742,no savings,4-7 years,2,male:single,none,3,building society savings agreement/ life insurance,36,none,own,2,skilled employee,1,None,Yes,Low
No checking account,24,existing credits paid,used car,7814,< 100 DM,4-7 years,3,male:single,none,3,car or other,38,none,own,1,management/self employed,1,yes,Yes,Low
No checking account,24,existing credits paid,used car,9277,no savings,1-4 years,2,male:divorced/separated,none,4,unknown/no property,48,none,free,1,skilled employee,1,yes,Yes,Low
0-200 DM,30,critical account,new car,2181,no savings,>7 years,4,male:single,none,4,real estate,36,none,own,2,skilled employee,1,None,Yes,Low
No checking account,18,critical account,radio/television,1098,< 100 DM,unemployed,4,female:divorced/separated/married,none,4,car or other,65,none,own,2,Unemployed,1,None,Yes,Low
0-200 DM,24,existing credits paid,furniture/equipment,4057,< 100 DM,4-7 years,3,male:divorced/separated,none,3,car or other,43,none,own,1,skilled employee,1,yes,Yes,High
0 DM,12,existing credits paid,education,795,< 100 DM,<1 year,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,53,none,own,1,skilled employee,1,None,Yes,High
0-200 DM,24,critical account,business,2825,no savings,4-7 years,4,male:single,none,3,unknown/no property,34,none,own,2,skilled employee,2,yes,Yes,Low
0-200 DM,48,existing credits paid,business,15672,< 100 DM,1-4 years,2,male:single,none,2,car or other,23,none,own,1,skilled employee,1,yes,Yes,High
No checking account,36,critical account,new car,6614,< 100 DM,>7 years,4,male:single,none,4,car or other,34,none,own,2,management/self employed,1,yes,Yes,Low
No checking account,28,all credits at this bank paid back,used car,7824,no savings,<1 year,3,male:single,guarantor,4,real estate,40,bank,rent,2,skilled employee,2,yes,Yes,Low
0 DM,27,critical account,business,2442,< 100 DM,>7 years,4,male:single,none,4,car or other,43,stores,own,4,management/self employed,2,yes,Yes,Low
No checking account,15,critical account,radio/television,1829,< 100 DM,>7 years,4,male:single,none,4,car or other,46,none,own,2,skilled employee,1,yes,Yes,Low
0 DM,12,critical account,new car,2171,< 100 DM,1-4 years,4,male:single,none,4,building society savings agreement/ life insurance,38,bank,own,2,unskilled/resident,1,None,No,Low
0-200 DM,36,critical account,used car,5800,< 100 DM,1-4 years,3,male:single,none,4,car or other,34,none,own,2,skilled employee,1,yes,Yes,Low
No checking account,18,critical account,radio/television,1169,no savings,1-4 years,4,male:single,none,3,building society savings agreement/ life insurance,29,none,own,2,skilled employee,1,yes,Yes,Low
No checking account,36,historical delay in payment,used car,8947,no savings,4-7 years,3,male:single,none,2,car or other,31,stores,own,1,management/self employed,2,yes,Yes,Low
0 DM,21,existing credits paid,radio/television,2606,< 100 DM,<1 year,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,28,none,rent,1,management/self employed,1,yes,Yes,Low
No checking account,12,critical account,furniture/equipment,1592,>1000 DM,4-7 years,3,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,35,none,own,1,skilled employee,1,None,No,Low
No checking account,15,existing credits paid,furniture/equipment,2186,no savings,4-7 years,1,female:divorced/separated/married,none,4,real estate,33,bank,rent,1,unskilled/resident,1,None,Yes,Low
0 DM,18,existing credits paid,furniture/equipment,4153,< 100 DM,1-4 years,2,male:single,co-applicant,3,car or other,42,none,own,1,skilled employee,1,None,Yes,High
0 DM,16,critical account,new car,2625,< 100 DM,>7 years,2,male:single,guarantor,4,building society savings agreement/ life insurance,43,bank,rent,1,skilled employee,1,yes,Yes,High
No checking account,20,critical account,new car,3485,no savings,<1 year,2,male:divorced/separated,none,4,real estate,44,none,own,2,skilled employee,1,yes,Yes,Low
No checking account,36,critical account,used car,10477,no savings,>7 years,2,male:single,none,4,unknown/no property,42,none,free,2,skilled employee,1,None,Yes,Low
No checking account,15,existing credits paid,radio/television,1386,no savings,1-4 years,4,male:married,none,2,real estate,40,none,rent,1,skilled employee,1,yes,Yes,Low
No checking account,24,existing credits paid,radio/television,1278,< 100 DM,>7 years,4,male:single,none,1,real estate,36,none,own,1,management/self employed,1,yes,Yes,Low
0 DM,12,existing credits paid,radio/television,1107,< 100 DM,1-4 years,2,male:single,none,2,real estate,20,none,rent,1,management/self employed,2,yes,Yes,Low
0 DM,21,existing credits paid,new car,3763,no savings,4-7 years,2,male:single,co-applicant,2,real estate,24,none,own,1,unskilled/resident,1,None,No,Low
0-200 DM,36,existing credits paid,education,3711,no savings,1-4 years,2,male:married,none,2,car or other,27,none,own,1,skilled employee,1,None,Yes,Low
No checking account,15,historical delay in payment,used car,3594,< 100 DM,<1 year,1,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,46,none,own,2,unskilled/resident,1,None,Yes,Low
0-200 DM,9,existing credits paid,new car,3195,no savings,1-4 years,1,female:divorced/separated/married,none,2,real estate,33,none,own,1,unskilled/resident,1,None,Yes,Low
No checking account,36,historical delay in payment,radio/television,4454,< 100 DM,1-4 years,4,female:divorced/separated/married,none,4,real estate,34,none,own,2,skilled employee,1,None,Yes,Low
0-200 DM,24,critical account,furniture/equipment,4736,< 100 DM,<1 year,2,female:divorced/separated/married,none,4,car or other,25,bank,own,1,unskilled/resident,1,None,Yes,High
0-200 DM,30,existing credits paid,radio/television,2991,no savings,>7 years,2,female:divorced/separated/married,none,4,car or other,25,none,own,1,skilled employee,1,None,Yes,Low
No checking account,11,existing credits paid,business,2142,>1000 DM,>7 years,1,male:divorced/separated,none,2,real estate,28,none,own,1,skilled employee,1,yes,Yes,Low
0 DM,24,all credits at this bank paid back,business,3161,< 100 DM,1-4 years,4,male:single,none,2,building society savings agreement/ life insurance,31,none,rent,1,skilled employee,1,yes,Yes,High
0-200 DM,48,none/all paid back,used car0,18424,< 100 DM,1-4 years,1,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,32,bank,own,1,management/self employed,1,yes,No,High
No checking account,10,existing credits paid,used car,2848,100-500 DM,1-4 years,1,male:single,co-applicant,2,real estate,32,none,own,1,skilled employee,2,None,Yes,Low
0 DM,6,existing credits paid,new car,14896,< 100 DM,>7 years,1,male:single,none,4,unknown/no property,68,bank,own,1,management/self employed,1,yes,Yes,High
0 DM,24,existing credits paid,furniture/equipment,2359,100-500 DM,unemployed,1,male:divorced/separated,none,1,building society savings agreement/ life insurance,33,none,own,1,skilled employee,1,None,Yes,High
0 DM,24,existing credits paid,furniture/equipment,3345,< 100 DM,>7 years,4,male:single,none,2,building society savings agreement/ life insurance,39,none,rent,1,management/self employed,1,yes,Yes,High
No checking account,18,critical account,furniture/equipment,1817,< 100 DM,1-4 years,4,female:divorced/separated/married,none,2,unknown/no property,28,none,own,2,skilled employee,1,None,Yes,Low
No checking account,48,historical delay in payment,radio/television,12749,500-1000 DM,4-7 years,4,male:single,none,1,car or other,37,none,own,1,management/self employed,1,yes,Yes,Low
0 DM,9,existing credits paid,radio/television,1366,< 100 DM,<1 year,3,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,22,none,rent,1,skilled employee,1,None,Yes,High
0-200 DM,12,existing credits paid,new car,2002,< 100 DM,4-7 years,3,male:single,none,4,building society savings agreement/ life insurance,30,none,rent,1,skilled employee,2,yes,Yes,Low
0 DM,24,all credits at this bank paid back,furniture/equipment,6872,< 100 DM,<1 year,2,male:divorced/separated,none,1,building society savings agreement/ life insurance,55,bank,own,1,skilled employee,1,yes,Yes,High
0 DM,12,all credits at this bank paid back,new car,697,< 100 DM,<1 year,4,male:single,none,2,car or other,46,bank,own,2,skilled employee,1,yes,Yes,High
0 DM,18,critical account,furniture/equipment,1049,< 100 DM,<1 year,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,21,none,rent,1,skilled employee,1,None,Yes,Low
0 DM,48,existing credits paid,used car,10297,< 100 DM,4-7 years,4,male:single,none,4,unknown/no property,39,stores,free,3,skilled employee,2,yes,Yes,High
No checking account,30,existing credits paid,radio/television,1867,no savings,>7 years,4,male:single,none,4,car or other,58,none,own,1,skilled employee,1,yes,Yes,Low
0 DM,12,historical delay in payment,new car,1344,< 100 DM,1-4 years,4,male:single,none,2,real estate,43,none,own,2,unskilled/resident,2,None,Yes,Low
0 DM,24,existing credits paid,furniture/equipment,1747,< 100 DM,<1 year,4,male:single,co-applicant,1,building society savings agreement/ life insurance,24,none,own,1,unskilled/resident,1,None,No,Low
0-200 DM,9,existing credits paid,radio/television,1670,< 100 DM,<1 year,4,female:divorced/separated/married,none,2,car or other,22,none,own,1,skilled employee,1,yes,Yes,High
No checking account,9,critical account,new car,1224,< 100 DM,1-4 years,3,male:single,none,1,real estate,30,none,own,2,skilled employee,1,None,Yes,Low
No checking account,12,critical account,radio/television,522,500-1000 DM,>7 years,4,male:single,none,4,building society savings agreement/ life insurance,42,none,own,2,skilled employee,2,yes,Yes,Low
0 DM,12,existing credits paid,radio/television,1498,< 100 DM,1-4 years,4,female:divorced/separated/married,none,1,car or other,23,bank,own,1,skilled employee,1,None,Yes,Low
0-200 DM,30,historical delay in payment,radio/television,1919,100-500 DM,<1 year,4,male:single,none,3,unknown/no property,30,stores,own,2,management/self employed,1,None,Yes,High
>200 DM,9,existing credits paid,radio/television,745,< 100 DM,1-4 years,3,female:divorced/separated/married,none,2,real estate,28,none,own,1,unskilled/resident,1,None,Yes,High
0-200 DM,6,existing credits paid,radio/television,2063,< 100 DM,<1 year,4,male:married,none,3,car or other,30,none,rent,1,management/self employed,1,yes,Yes,Low
0-200 DM,60,existing credits paid,education,6288,< 100 DM,1-4 years,4,male:single,none,4,unknown/no property,42,none,free,1,skilled employee,1,None,Yes,High
No checking account,24,critical account,used car,6842,no savings,1-4 years,2,male:single,none,4,building society savings agreement/ life insurance,46,none,own,2,management/self employed,2,yes,Yes,Low
No checking account,12,existing credits paid,new car,3527,no savings,<1 year,2,male:single,none,3,building society savings agreement/ life insurance,45,none,own,1,management/self employed,2,yes,Yes,Low
No checking account,10,existing credits paid,new car,1546,< 100 DM,1-4 years,3,male:single,none,2,real estate,31,none,own,1,unskilled/resident,2,None,No,Low
No checking account,24,existing credits paid,furniture/equipment,929,no savings,4-7 years,4,male:single,none,2,car or other,31,stores,own,1,skilled employee,1,yes,Yes,Low
No checking account,4,critical account,new car,1455,< 100 DM,4-7 years,2,male:single,none,1,real estate,42,none,own,3,unskilled/resident,2,None,Yes,Low
0 DM,15,existing credits paid,furniture/equipment,1845,< 100 DM,<1 year,4,female:divorced/separated/married,guarantor,1,building society savings agreement/ life insurance,46,none,rent,1,skilled employee,1,None,Yes,Low
0-200 DM,48,none/all paid back,new car,8358,500-1000 DM,<1 year,1,female:divorced/separated/married,none,1,car or other,30,none,own,2,skilled employee,1,None,Yes,Low
0 DM,24,all credits at this bank paid back,furniture/equipment,3349,500-1000 DM,<1 year,4,male:single,none,4,unknown/no property,30,none,free,1,skilled employee,2,yes,Yes,High
No checking account,12,existing credits paid,new car,2859,no savings,unemployed,4,male:single,none,4,unknown/no property,38,none,own,1,management/self employed,1,yes,Yes,Low
No checking account,18,existing credits paid,furniture/equipment,1533,< 100 DM,<1 year,4,male:married,co-applicant,1,building society savings agreement/ life insurance,43,none,own,1,unskilled/resident,2,None,Yes,High
No checking account,24,existing credits paid,radio/television,3621,100-500 DM,>7 years,2,male:single,none,4,car or other,31,none,own,2,skilled employee,1,None,Yes,High
0-200 DM,18,critical account,business,3590,< 100 DM,unemployed,3,male:married,none,3,car or other,40,none,own,3,Unemployed,2,yes,Yes,Low
0 DM,36,historical delay in payment,business,2145,< 100 DM,4-7 years,2,male:single,none,1,car or other,24,none,own,2,skilled employee,1,yes,Yes,High
0-200 DM,24,existing credits paid,used car,4113,500-1000 DM,<1 year,3,female:divorced/separated/married,none,4,car or other,28,none,rent,1,skilled employee,1,None,Yes,High
No checking account,36,existing credits paid,furniture/equipment,10974,< 100 DM,unemployed,4,female:divorced/separated/married,none,2,car or other,26,none,own,2,management/self employed,1,yes,Yes,High
0 DM,12,existing credits paid,new car,1893,< 100 DM,1-4 years,4,female:divorced/separated/married,guarantor,4,building society savings agreement/ life insurance,29,none,own,1,skilled employee,1,yes,Yes,Low
0 DM,24,critical account,radio/television,1231,>1000 DM,>7 years,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,57,none,rent,2,management/self employed,1,yes,Yes,Low
>200 DM,30,critical account,radio/television,3656,no savings,>7 years,4,male:single,none,4,building society savings agreement/ life insurance,49,stores,own,2,unskilled/resident,1,None,Yes,Low
0-200 DM,9,critical account,radio/television,1154,< 100 DM,>7 years,2,male:single,none,4,real estate,37,none,own,3,unskilled/resident,1,None,Yes,Low
0 DM,28,existing credits paid,new car,4006,< 100 DM,1-4 years,3,male:single,none,2,car or other,45,none,own,1,unskilled/resident,1,None,Yes,High
0-200 DM,24,existing credits paid,furniture/equipment,3069,100-500 DM,>7 years,4,male:single,none,4,unknown/no property,30,none,free,1,skilled employee,1,None,Yes,Low
No checking account,6,critical account,radio/television,1740,< 100 DM,>7 years,2,male:married,none,2,real estate,30,none,rent,2,skilled employee,1,None,Yes,Low
0-200 DM,21,historical delay in payment,new car,2353,< 100 DM,1-4 years,1,male:divorced/separated,none,4,building society savings agreement/ life insurance,47,none,own,2,skilled employee,1,None,Yes,Low
No checking account,15,existing credits paid,new car,3556,no savings,1-4 years,3,male:single,none,2,unknown/no property,29,none,own,1,skilled employee,1,None,Yes,Low
No checking account,24,existing credits paid,radio/television,2397,500-1000 DM,>7 years,3,male:single,none,2,car or other,35,bank,own,2,skilled employee,1,yes,Yes,High
0-200 DM,6,existing credits paid,repairs,454,< 100 DM,<1 year,3,male:married,none,1,building society savings agreement/ life insurance,22,none,own,1,unskilled/resident,1,None,Yes,Low
0-200 DM,30,existing credits paid,radio/television,1715,no savings,1-4 years,4,female:divorced/separated/married,none,1,car or other,26,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,27,critical account,radio/television,2520,500-1000 DM,1-4 years,4,male:single,none,2,building society savings agreement/ life insurance,23,none,own,2,unskilled/resident,1,None,Yes,High
No checking account,15,existing credits paid,radio/television,3568,< 100 DM,>7 years,4,female:divorced/separated/married,none,2,car or other,54,bank,rent,1,management/self employed,1,yes,Yes,Low
No checking account,42,existing credits paid,radio/television,7166,no savings,4-7 years,2,male:married,none,4,building society savings agreement/ life insurance,29,none,rent,1,skilled employee,1,yes,Yes,Low
0 DM,11,critical account,new car,3939,< 100 DM,1-4 years,1,male:single,none,2,real estate,40,none,own,2,unskilled/resident,2,None,Yes,Low
0-200 DM,15,existing credits paid,repairs,1514,100-500 DM,1-4 years,4,male:single,guarantor,2,real estate,22,none,own,1,skilled employee,1,None,Yes,Low
No checking account,24,existing credits paid,new car,7393,< 100 DM,1-4 years,1,male:single,none,4,building society savings agreement/ life insurance,43,none,own,1,unskilled/resident,2,None,Yes,Low
0 DM,24,all credits at this bank paid back,new car,1193,< 100 DM,unemployed,1,female:divorced/separated/married,co-applicant,4,unknown/no property,29,none,rent,2,Unemployed,1,None,Yes,High
0 DM,60,existing credits paid,business,7297,< 100 DM,>7 years,4,male:single,co-applicant,4,unknown/no property,36,none,rent,1,skilled employee,1,None,Yes,High
No checking account,30,critical account,radio/television,2831,< 100 DM,1-4 years,4,female:divorced/separated/married,none,2,car or other,33,none,own,1,skilled employee,1,yes,Yes,Low
>200 DM,24,existing credits paid,radio/television,1258,500-1000 DM,1-4 years,3,female:divorced/separated/married,none,3,car or other,57,none,own,1,unskilled/resident,1,None,Yes,Low
0-200 DM,6,existing credits paid,radio/television,753,< 100 DM,1-4 years,2,female:divorced/separated/married,guarantor,3,real estate,64,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,18,historical delay in payment,business,2427,no savings,>7 years,4,male:single,none,2,building society savings agreement/ life insurance,42,none,own,2,skilled employee,1,None,Yes,Low
No checking account,24,historical delay in payment,new car,2538,< 100 DM,>7 years,4,male:single,none,4,car or other,47,none,own,2,unskilled/resident,2,None,Yes,High
0-200 DM,15,all credits at this bank paid back,new car,1264,100-500 DM,1-4 years,2,male:married,none,2,building society savings agreement/ life insurance,25,none,rent,1,skilled employee,1,None,Yes,High
0-200 DM,30,critical account,furniture/equipment,8386,< 100 DM,4-7 years,2,male:single,none,2,building society savings agreement/ life insurance,49,none,own,1,skilled employee,1,None,Yes,High
No checking account,48,existing credits paid,business,4844,< 100 DM,unemployed,3,male:single,none,2,car or other,33,bank,rent,1,management/self employed,1,yes,Yes,High
>200 DM,21,existing credits paid,new car,2923,100-500 DM,1-4 years,1,female:divorced/separated/married,none,1,car or other,28,bank,own,1,management/self employed,1,yes,Yes,Low
0 DM,36,existing credits paid,used car,8229,< 100 DM,1-4 years,2,male:single,none,2,building society savings agreement/ life insurance,26,none,own,1,skilled employee,2,None,Yes,High
No checking account,24,critical account,furniture/equipment,2028,< 100 DM,4-7 years,2,male:single,none,2,building society savings agreement/ life insurance,30,none,own,2,unskilled/resident,1,None,Yes,Low
0 DM,15,critical account,furniture/equipment,1433,< 100 DM,1-4 years,4,female:divorced/separated/married,none,3,building society savings agreement/ life insurance,25,none,rent,2,skilled employee,1,None,Yes,Low
>200 DM,42,none/all paid back,business,6289,< 100 DM,<1 year,2,male:divorced/separated,none,1,building society savings agreement/ life insurance,33,none,own,2,skilled employee,1,None,Yes,Low
No checking account,13,existing credits paid,radio/television,1409,100-500 DM,unemployed,2,female:divorced/separated/married,none,4,real estate,64,none,own,1,skilled employee,1,None,Yes,Low
0 DM,24,existing credits paid,used car,6579,< 100 DM,unemployed,4,male:single,none,2,unknown/no property,29,none,free,1,management/self employed,1,yes,Yes,Low
0-200 DM,24,critical account,radio/television,1743,< 100 DM,>7 years,4,male:single,none,2,building society savings agreement/ life insurance,48,none,own,2,unskilled/resident,1,None,Yes,Low
No checking account,12,critical account,education,3565,no savings,<1 year,2,male:single,none,1,building society savings agreement/ life insurance,37,none,own,2,unskilled/resident,2,None,Yes,Low
No checking account,15,all credits at this bank paid back,radio/television,1569,100-500 DM,>7 years,4,male:single,none,4,car or other,34,bank,own,1,unskilled/resident,2,None,Yes,Low
0 DM,18,existing credits paid,radio/television,1936,no savings,4-7 years,2,male:married,none,4,car or other,23,none,rent,2,unskilled/resident,1,None,Yes,Low
0 DM,36,existing credits paid,furniture/equipment,3959,< 100 DM,unemployed,4,male:single,none,3,building society savings agreement/ life insurance,30,none,own,1,management/self employed,1,yes,Yes,Low
No checking account,12,existing credits paid,new car,2390,no savings,>7 years,4,male:single,none,3,car or other,50,none,own,1,skilled employee,1,yes,Yes,Low
No checking account,12,existing credits paid,furniture/equipment,1736,< 100 DM,4-7 years,3,female:divorced/separated/married,none,4,real estate,31,none,own,1,unskilled/resident,1,None,Yes,Low
0 DM,30,existing credits paid,used car,3857,< 100 DM,1-4 years,4,male:divorced/separated,none,4,building society savings agreement/ life insurance,40,none,own,1,management/self employed,1,yes,Yes,Low
No checking account,12,existing credits paid,radio/television,804,< 100 DM,>7 years,4,male:single,none,4,car or other,38,none,own,1,skilled employee,1,None,Yes,Low
0 DM,45,existing credits paid,radio/television,1845,< 100 DM,1-4 years,4,male:single,none,4,unknown/no property,23,none,free,1,skilled employee,1,yes,Yes,High
0-200 DM,45,critical account,used car,4576,100-500 DM,unemployed,3,male:single,none,4,car or other,27,none,own,1,skilled employee,1,None,Yes,Low
